agency	explanation	frequency	last meeting	link to calendar	meeting this week	link to this week's meeting	Agenda Link
Los Angeles City Board of Public Works	Oversees all construction for city of LA. Includes but not limited to permits, budgets, and vendors used.	Twice a week, usually Wednesdays and Fridays 10am PST	20-Sep	https://dpwlacity.primegov.com/public/portal 	9/25/2024 10am	https://www.zoomgov.com/j/1616371032	
California State Board of General Contractors	Enforces penalties against all general contractor licenses for the entire state of California, including revoking licenses and fines.	Once a quarter	19-Sep	https://www.cslb.ca.gov/Media_Room/Board_and_Committee_meetings/	None	None	
California State Board of Professional Engineers	Enforces penalties against all engineers who sign off on permits and construction plans for the entire state of California, including revoking licenses and fines.	Once every other month, exact date and details announced 10 days in advance	23-Aug	https://www.bpelsg.ca.gov/about_us/meetings/index.shtml	None, next meeting is 16-Oct	None	
California State Bar	Enforces penalties against lawyer misconduct and revokes license.	Usually daily, every week, various committees	19-Sep	https://calbar.primegov.com/public/portal	9/24/2024 at 1pm	https://calbar.zoom.us/j/84747089190	
Norhteast Hollywood Neighborhood Council Board Meeting	All things related to Northeast Hollywood	Once a month		https://www.nhnenc.org/event/board-meeting-33/	None, next meeting is 16-Oct at 7pm	None	
LAPD Police Commission	All things LAPD related	Once a week	17-Sep	https://lacity.gov/directory/police-commissioners-board	24-Sep at 9:30am	https://lapd.zoom.us/s/289225944	https://lapdonlinestrgeacc.blob.core.usgovcloudapi.net/lapdonlinemedia/092424.pdf
LA Firefighter Commission	All things LAFD related	First and Third Tuesday Every Month at 9am, in person only but can listen live or submit written comment via email no later than 24 hours beforehand via email LAFDFireCommission@lacity.org	17-Sep	https://lafd.org/about/organization/fire-commission/calendar-documents-meeting-minutes	None	None	
LADWP Board	All things Water and Power for city of LA	2nd and 4th Tuesday each month, 10am	10-Sep 10am	https://www.ladwp.com/who-we-are/board-commissioners/board-agendas?_adf_ctrl-state=hadzpkyka_4&_afrLoop=367112656922430&_afrWindowId=null&_afrWindowMode=0#%40%3F_afrWindowId%3Dnull%26_afrLoop%3D367112656922430%26_afrWindowMode%3D0%26_adf.ctrl-state%3Dnuzrbnlph_4	24-Sep 10am	https://ladwp.webex.com/ladwp/j.php?MTID=m338fad2434579689fe7037e2eabb9e5b	
Sheriff Oversight Commission	twice a month			https://coc.lacounty.gov/meetings/commission-meetings/			
LADOT Board Commission	once a month, second Thursday of the month			https://ladot.lacity.gov/about/commissions			
LA County Board of Supervisors	twice a month			https://bos.lacounty.gov/board-meeting-agendas/			
California Board of Equalization	varies			https://www.boe.ca.gov/meetings/pubmeet24.htm			
California Franchise Tax Board	varies			https://www.ftb.ca.gov/about-ftb/meetings/index.html#2024-meeting-schedule			
